Bratislavský kraj,,
,,
Bratislava I ,,
,,
Peter Oremus,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",18 528
Ján Vančo,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",17 393
Tibor Tóth,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",17 033
Ladislav Stodola,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",16 785
Pavol Meňky,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",16 704
Viliam Búcora,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",16 420
Marián Radošovský,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",16 404
Tibor Glenda,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",15 506
,,
Nové Zámky ,,
,,
Peter Hudák,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",14 909
Marián Karvaj,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",13 428
Tibor Matuška,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",12 813
Ladislav Marenčák,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",12 535
Helena Bohátová,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",12 359
László Fekete,SMK-MKP,12 352
Iván Farkas,SMK-MKP,12 239
Imrich Hugyivár,SMK-MKP,12 195
László Forró,SMK-MKP,12 070
Tibor Farkas,SMK-MKP,11 984
František Hatina,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",11 950
,,
Šaľa ,,
,,
Gyula Borsányi,SMK-MKP,4 422
Štefan Jancsó,SMK-MKP,4 288
František Botka,SMK-MKP,4 255
Gábor Rusznák,SMK-MKP,3 821
,,
Topoľčany ,,
,,
Karol Gerhát,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",7 235
Ľubomír Bošanský,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",5 985
Pavol Goga,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",5 729
Juraj Soboňa,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",5 244
Albert Hačko,"ANO,HZD,SF",4 653
,,
Zlaté Moravce ,,
,,
