Bratislavský kraj,,, 
,,, 
Bratislava - obvod č. 1,,, 
,,, 
,,, 
Obvod Gelnica,,, 
,,, 
"HZD, SF, S.O.S.",Kamil Műnnich,869, 
SMER,Antonín Cicoň,1 121, 
,,, 
Obvod Michalovce,,, 
,,, 
"DS, KDS, OKS, SDKÚ-DS",Martin Pado,3 002, 
"ĽS-HZDS, SZS",Valéria Eľková,2 970, 
SMER,Emil Ďurovčík,6 877, 
,Viliam Záhorčák,5 830, 
,Ľubica Rošková,3 767, 
,Jozef Makohus,3 311, 
NEKA,Ján Mihalečko,3 713, 
,František Farkaš,3 392, 
,,, 
Obvod Rožňava,,, 
,,, 
"ĽS-HZDS, SZS",Gejza Milko,2 906, 
SMER,Ján Babič,3 769, 
,Štefan Bašták,3 129, 
,Karol Horník,2 747, 
SMK-MKP,Ján Szöllös,2 596, 
,,, 
Obvod Sobrance,,, 
,,, 
"HZD, SF, S.O.S.",Štefan Staško,2 388, 
"ĽS-HZDS, SZS",Štefan Džurina,2 241, 
,,, 
Obvod Spišská Nová Ves,,, 
,,, 
"DS, KDS, OKS, SDKÚ-DS",Marián Hojstrič,3 889, 
SMER,Ján Volný,4 723, 
,Lea Grečková,4 191, 
,Juraj Beňa,3 738, 
,Miroslav Semeš,3 432, 
NEKA,Michal Komara,4 738, 
,Pavol Bečarik,2 254, 
,,, 
Obvod Trebišov,,, 
,,, 
SMER,Jana Mondiková,3 590, 
,Juraj Sobek,3 463, 
SMK-MKP,Csaba Furik,3 726, 
,Gejza Sačko,3 629, 
,József Kopasz,3 406, 
NEKA,Štefan Duč,4 678, 
,Alžbeta Mátéová,3 664, 
,Ivan Hrdlík,3 316, 
