Bratislavský kraj,,
,,
Bratislava I,,
,,
Vladimír Jankela,"HZD,SF,SMER",198
Ján Moravčík,KSS,193
Peter Klamo,SNS,183
Ronald Záhradník,KSS,177
Milan Johanes,"ĽS-HZDS,P SNS,ZSNS",172
Karol Mihalský,"ĽS-HZDS,P SNS,ZSNS",126
Martin Kríž,OKS,94
Róbert Rybár,OL,75
Ján Minárik,ÚSVIT,62
,,
Pezinok,,
,,
Juraj Pátek,"ĽS-HZDS,P SNS,ZSNS",981
Ján Čech,"HZD,SF,SMER",922
Peter Chrappa,"ANO,DS,SDKÚ,SMK-MKP,SZS",787
Juraj Pavelek,KDH,786
Peter Červenka,"ĽS-HZDS,P SNS,ZSNS",760
František Féder,OKS,728
Jozef Javorka,SNS,725
Justín Sedlák,"HZD,SF,SMER",713
Miroslav Král,NEKA,695
Alexander Achberger,VPRED,693
Milan Svitek,KDH,681
Elena Matuská,"ANO,DS,SDKÚ,SMK-MKP,SZS",667
Milan Šimovič,KDH,661
Ľudmila Vodnáková,KDH,644
Irena Herchlová,"ĽS-HZDS,P SNS,ZSNS",638
Ľubomíra Žáková,VPRED,579
Ján Man,"HZD,SF,SMER",523
Terézia Holecová,SNS,508
Jozef Dvorák,"ĽS-HZDS,P SNS,ZSNS",471
Andrej Vilim,NEKA,471
Roman Doubrava,"HZD,SF,SMER",456
Zita Joklová,"ĽS-HZDS,P SNS,ZSNS",444
Viliam Kukumberg,NEKA,400
Miriam Ščepánová,SNS,356
Jozef Štolc,SNS,257
Ferdinand Noga,KSS,241
Jalal Suleiman,KSS,223
Stanislav Rýchly,KSS,222
Jozef Brtáň,KSS,215
Jozef Šindler,KSS,172
Jozef Kováč,ĽS,132
Ladislav Volný,ĽS,100
,,
Senec,,
,,
Jozef Elšík,NEKA,1 412
Ladislav Cingel,KDH,1 326
Emese Dobošová,"HZD,SF,SMER",1 276
František Podolský,KDH,1 087
Peter Kopecký,VPRED,1 070
Ján Nádašský,KDH,978
Rastislav Blaško,NEKA,961
Štefan Hajduch,"HZD,SF,SMER",912
Katarína Smiešková,KDH,891
Silvia Poórová,"HZD,SF,SMER",764
Matej Biskupič,SNS,715
Gabriela Mačaiová,"ĽS-HZDS,P SNS,ZSNS",596
Peter Szabo,"HZD,SF,SMER",568
Štefan Nesmeri,SNS,552
Jozef Zrnek,NEKA,541
Roman Conorto,"ĽS-HZDS,P SNS,ZSNS",508
Pavol Čičmanec,SNS,498
Daniel Čelko,VPRED,383
Július Šimboch,"ĽS-HZDS,P SNS,ZSNS",333
Ladislav Gál,KSS,318
Vojtech Dolinský,KSS,242
Mikuláš Sysák,KSS,204
Michal Tinák,Misia 21,193
Pavel Trpiška,KSS,160
Terézia Čeligová,OKS,144
Eduard Smolen,SNJ,118
,,
Trnavský kraj,,
,,
Dunajská Streda,,
,,
Ľudovít Kulcsár,NEKA,2 153
Daniel Krascsenits,"DS,KDH,SDKÚ",1 127
Jozef Kmeť,"ĽB,ĽS-HZDS,P SNS,ZSNS",1 086
Edita Leporisová,"ANO,HZD,SF,SMER",967
Ján Baďanský,"DS,KDH,SDKÚ",898
Marián Dúbrava,"DS,KDH,SDKÚ",869
Ivan Balázsy,"ANO,HZD,SF,SMER",795
Peter Štuller,"DS,KDH,SDKÚ",760
Rudolf Matejčík,"DS,KDH,SDKÚ",738
Ľuboš Bohumel,"ĽB,ĽS-HZDS,P SNS,ZSNS",730
Gabriel Szalay,KSS,706
Štefan Radics,"ANO,HZD,SF,SMER",680
Alexander Zátori,"ĽB,ĽS-HZDS,P SNS,ZSNS",581
Andrej Takács,OKS,563
Marián Trojčák,"DS,KDH,SDKÚ",556
Vladimír Brinarovský,ÚSVIT,266
Peter Nový,Misia 21,174
,,
Galanta,,
,,
Vladimír Vranovič,"ANO,HZD,SF,SMER",3 405
Tibor Plézel,"ANO,HZD,SF,SMER",3 287
Milan Čambálik,"ANO,HZD,SF,SMER",2 809
Anna Piláriková,SNS,2 744
Ján Kayser,"DS,KDH,SDKÚ",2 640
Michal Štangel,"ANO,HZD,SF,SMER",2 058
Claudius Krčmárik,"ĽB,ĽS-HZDS,P SNS,ZSNS",1 980
Jozef Nahacký,ASV,1 377
Pavol Kurbel,"DS,KDH,SDKÚ",1 368
Iveta Labjaková,"DS,KDH,SDKÚ",1 345
Ladislav Kollár,"DS,KDH,SDKÚ",1 330
Vojtech Volkovič,"DS,KDH,SDKÚ",1 142
Tibor Pethö,"ĽB,ĽS-HZDS,P SNS,ZSNS",1 023
Rastislav Meszároš,"DS,KDH,SDKÚ",990
Cyril Špačinský,"DS,KDH,SDKÚ",965
Edita Katonová,KSS,888
Anton Dúbravec,KSS,879
Štefan Borovský,KSS,734
Milan Molnár,KSS,642
Ladislav Duchoň,KSS,620
Anna Nagyová,ZRS,552
Marek Matonog,KSS,504
Kornel Somogyi,KSS,466
Jozef Sárkány,NEKA,456
Igor Pösinger,OKS,120
,,
Hlohovec,,
,,
Milan Mihálik,"ANO,HZD,SF,SMER",1 364
Martin Balla,"DS,KDH,SDKÚ",1 197
Ladislav Kuna,"ANO,HZD,SF,SMER",1 000
Michal Javor,"DS,KDH,SDKÚ",958
Rudolf Mikuláš,"DS,KDH,SDKÚ",852
Ivan Varga,"ANO,HZD,SF,SMER",851
Miroslav Začko,"ĽB,ĽS-HZDS,P SNS,ZSNS",617
Lýdia Žáková,SNS,410
Oliver Šiatkovský,ASV,404
Ivan Múdry,KSS,363
Juraj Kabát,KSS,267
Michal Pikus,SNS,231
Jozef Šiška,ZRS,197
Peter Pavlovič,SNS,169
Miroslav Nemček,KSS,166
Ladislav Plaštiak,ASV,148
Ivan Rogovský,OKS,60
,,
Piešťany,,
,,
Ladislav Mihalčík,"DS,KDH,SDKÚ",1 471
Martin Adamča,"ĽB,ĽS-HZDS,P SNS,ZSNS",1 380
Karol Jasenovský,"DS,KDH,SDKÚ",1 352
Martin Valo,"ANO,HZD,SF,SMER",1 248
Michal Augustín,"ĽB,ĽS-HZDS,P SNS,ZSNS",1 132
Marián Dóczy,"ANO,HZD,SF,SMER",1 115
Gilbert Liška,"ĽB,ĽS-HZDS,P SNS,ZSNS",1 022
Ján Giacko,"ANO,HZD,SF,SMER",992
Andrej Nižnanský,"ĽB,ĽS-HZDS,P SNS,ZSNS",955
Ján Horváth,"ANO,HZD,SF,SMER",947
Marian Ručkay,"ĽB,ĽS-HZDS,P SNS,ZSNS",942
Vojtech Hornák,SNS,593
Miroslav Stračár,NEKA,527
Igor Guba,ASV,526
Stanislav Valovič,SNS,495
Marián Babčan,KSS,398
Božena Bieliková,KSS,395
Štefan Adamkovič,ZRS,392
Vladimír Holec,KSS,370
Pavol Ušák,KSS,361
Miroslav Masár,SNS,343
Pavol Hložka,KSS,314
