Bratislavský kraj,,, 
,,, 
Bratislava - obvod č. 1,,, 
,,, 
Andrea Klabuzai,SMK-MKP,2 985, 
František Juhos,MOST-HÍD,2 953, 
Martin Tomčányi,"KDH, SDKÚ-DS",2 943, 
Tibor Plézel,ND,2 808, 
Ilona Varsányi,SMK-MKP,2 802, 
Alexander Mézeš,ND,2 761, 
Zuzana Csadyová,MOST-HÍD,2 757, 
Marián Vrbovský,"HZD, ĽS-HZDS, SNS, SMER",2 573, 
Peter Rampašek,"KDH, SDKÚ-DS",2 415, 
Béla Zsille,MOST-HÍD,2 196, 
Peter Černý,NEKA,2 006, 
Terézia Pethőová,"HZD, ĽS-HZDS, SNS, SMER",1 969, 
Zuzana Takácsová,MOST-HÍD,1 820, 
František Gőgh,"KDH, SDKÚ-DS",1 663, 
Andrej Kulcsár,MOST-HÍD,1 650, 
Pavel Racsko,NEKA,1 647, 
Zdenka Mačicová,MOST-HÍD,1 582, 
Vlasta Klačanská,ND,1 325, 
Anton Dúbravec,KSS,1 161, 
Milan Baša,ASV,1 004, 
Jozef Nahácky,ASV,911, 
Michal Borovička,SaS,745, 
Martina Hambálková,EDS,732, 
Gabriel Weisz,SaS,697, 
Zdenka Krivosudská,ZRS,679, 
Viliam Tóth,EDS,618, 
Michal Pethö,EDS,576, 
Margita Győriová,SaS,559, 
Ondrej Kusý,ASV,527, 
Justína Kolesárová,ASV,423, 
Anna Nagyová,ZRS,404, 
Mária Pallyaová,EDS,393, 
Andrej Ležovič,SĽS,371, 
,,, 
Obvod Hlohovec,,, 
,,, 
Alena Jelušová,"HZD, ĽS-HZDS, SNS, SMER",1 781, 
Ján Tassy,"HZD, ĽS-HZDS, SNS, SMER",1 642, 
Milan Mihálik,NEKA,1 363, 
Milan Gavorník,NEKA,1 033, 
Tibor Stanko,"KDH, SDKÚ-DS",1 002, 
Rynaldo Šimanský,NEKA,843, 
Rudolf Štefanovič,NEKA,639, 
Michal Očenáš,"KDH, SDKÚ-DS",623, 
Jana Šimurková,NEKA,547, 
Martin Kováč,SaS,524, 
Ján Maršala,ND,376, 
Miroslav Albert,KSS,297, 
Mária Žáková,ZRS,232, 
Lubomír Karásek,MOST-HÍD,219, 
Stanislav Cebo,ASV,193, 
Igor Pach,ASV,168, 
Ladislav Kurinec,MOST-HÍD,135, 
Ladislav Plaštiak,ASV,132, 
,,, 
Obvod Piešťany,,, 
,,, 
Iveta Babičová,"KDH, SDKÚ-DS",1 657, 
Eva Kolláriková,"HZD, ĽS-HZDS, SNS, SMER",1 463, 
Martin Cifra,NEKA,1 457, 
Milan Máček,"HZD, ĽS-HZDS, SNS, SMER",1 454, 
Marián Gula,"KDH, SDKÚ-DS",1 310, 
Magdaléna Kuciaňová,"HZD, ĽS-HZDS, SNS, SMER",1 254, 
Zita Bruncková,SaS,1 253, 
Marián Ručkay,"HZD, ĽS-HZDS, SNS, SMER",1 242, 
Martin Valo,NEKA,1 074, 
Zuzana Nedelková,NEKA,815, 
Ján Jánoška,NEKA,814, 
Marián Dóczy,NEKA,776, 
Gilbert Liška,ND,763, 
Marián Urbánek,KDS,734, 
Ján Chmelo,NEKA,704, 
Drahomíra Moretová,NEKA,672, 
Martin Adamča,NEKA,657, 
Marcel Mihálik,KDS,635, 
František Bača,KDS,600, 
Jana Štefečková Beňačková,NEKA,580, 
Pavol Steinecker,NEKA,550, 
František Tahotný,ND,542, 
Zuzana Jurčová,SF,452, 
Michal Bľanda,SaS,446, 
Jana Melicherová,NEKA,434, 
Marek Monček,SaS,406, 
Ján Tralich,SaS,375, 
Bibiána Pfeiffer,SaS,353, 
Peter Dragula,KDS,296, 
Kristína Stankovská,ĽSSS,284, 
Jozef Špitálsky,EDS,255, 
Ľubomír Motúz,EDS,205, 
Marián Švorc,ĽSSS,205, 
Gabriela Kubičková,MOST-HÍD,198, 
Jana Mitošinková,ĽSSS,187, 
Petr Klampár,EDS,162, 
Martin Čimo,EDS,158, 
